ID,Title,Description,Link,Summarize,Summarized Caption,Group/Channel,Mode,Date,Hour (24),Minute (60),Execute,Status,Scheduled At,Sent At,Category,Relevancy,,
161,Getting Started of I2C Serial LCD with Arduino (Maker UNO),"This is a great blue backlight LCD display. As the pin resources of Arduino controller is limited, your project may be not able to use normal LCD shield after connected with a certain quantity of sens..",https://my.cytron.io/tutorial/getting-started-i2c-serial-lcd-arduino-maker-uno,On,"Tutorial | Getting Started with I2C Serial LCD & Arduino Maker UNO

Level up your Arduino projects with this awesome tutorial! 🤩 Learn how to use a beautiful blue backlight I2C LCD display – perfect for space-saving on your Arduino UNO.  Running out of pins with sensors? This tutorial shows you the solution!  This I2C LCD is your secret weapon for compact and elegant projects.  Get started now and unleash the power of efficient displays! 🚀

🔗 Tutorial: https://my.cytron.io/tutorial/getting-started-i2c-serial-lcd-arduino-maker-uno&tracking=content&utm_campaign=telegram-posts

#Arduino #I2C #LCD #MakerUNO #Electronics
",Arduino MY,Scheduled,03/31/2026,12,00,On,,2025-12-22 13:56:07,,Arduino,Relevant,,
162,How To Program Arduino (Maker UNO) Using Atmel Studio,Atmel Studio 7 is the integrated development platform (IDP) for developing and debugging all AVR® and SAM microcontroller applications. The Atmel Studio 7 IDP gives you a seamless and easy-to....,https://my.cytron.io/tutorial/program-arduino-maker-uno-using-atmel-studio,Off,,,,-,-,-,Off,,-,-,Arduino,Outdated,,
163,Choosing a DC Motor,We have seen many makers face difficulties in choosing the right motor for their mobile robots as well as automation projects. Many of them are not from a mechanical engineering background hence the c..,https://my.cytron.io/tutorial/choosing-dc-motor,Off,,,,-,-,-,Off,,-,-,Robotics,,,
164,Getting Started with 4 Channel Motor Driver and Arduino,"4 Channel DC Motor Driver, FD04A is special designed to drive four DC brush motors. It can be used to drive more than two motors which is needed on Omni drive mobile robot. It offers low cos....",https://my.cytron.io/tutorial/getting-started-4-channel-motor-driver-arduino,Off,,,,-,-,-,Off,,-,-,Robotics,,,
165,Measuring DC Motor RPM Through Built-in Hall Sensor Encoder,"When we deal with controlling motor speed, normally we just provide PWM and the motor will rotate accordingly to the voltage reach at motor terminal. To have a better speed controlling, we can monitor..",https://my.cytron.io/tutorial/measuring-dc-motor-rpm-built-hall-sensor-encoder,Off,,,,-,-,-,Off,,-,-,Robotics,,,
166,Auto Run Raspberry Pi Script with Cron,"It seems like there have problem if you want to auto run script on Raspbian Stretch by editing rc.local file. So, how about Cron?..",https://my.cytron.io/tutorial/auto-run-raspberry-pi-script-cron,Off,,,,-,-,-,Off,,-,-,Raspberry Pi,,,
167,Program Maker UNO Using Chromebook,Chromebook user? Please check on this tutorial on how to program Maker UNO using Chromebook...,https://my.cytron.io/tutorial/program-maker-uno-using-chromebook,Off,,,,,,,Off,,-,-,Arduino,Outdated,,
168,Controlling Arduino Using Voice,"Controlling a Maker UNO using voice seems difficult and impossible. But no worries, now we can control the Maker UNO using our voice with the help of Arduino Voice Control Apps and Bluetooth HC-06. Th..",https://my.cytron.io/tutorial/controlling-arduino-using-voice,On,"Tutorial | Controlling Arduino Using Voice 🗣️

Ever thought controlling your Maker UNO with just your voice was impossible? 🤔 Think again! This tutorial shows you how to command your Maker UNO using the magic of Arduino Voice Control Apps and a trusty Bluetooth HC-06. 🤩 It's easier than you think! Get ready to shout commands and see your Arduino obey! 🤖

🔗 Tutorial: https://my.cytron.io/tutorial/controlling-arduino-using-voice&tracking=content&utm_campaign=telegram-posts

#Arduino #VoiceControl #MakerUNO #Bluetooth #DIYElectronics
",Arduino MY,Scheduled,07/21/2026,12,00,On,,2025-12-22 15:08:27,-,Arduino,Relevant,,
169,How to Display on I2C OLED Using Raspberry Pi,Your Pi project involve display? You can consider to use I2C OLED!..,https://my.cytron.io/tutorial/display-i2c-oled-using-raspberry-pi,On,"Tutorial | How to Display on I2C OLED Using Raspberry Pi

Got a Raspberry Pi project that needs a display? 🤔 Level up your project with a crisp and clear I2C OLED! This compact display is perfect for showing data, status, or even simple graphics! We've got a step-by-step guide to get you started. 💻➡️✨

🔗 Tutorial: https://my.cytron.io/tutorial/display-i2c-oled-using-raspberry-pi&tracking=content&utm_campaign=telegram-posts

#RaspberryPi #OLED #I2C #Display #Tutorial
",Raspberry Pi Education Malaysia,Scheduled,07/04/2026,13,00,On,,2025-12-29 5:10:22,-,Raspberry Pi,Relevant,,
170,Raspberry Pi 3B+ vs 3B,"The latest Raspberry Pi 3 Model B+, check out the upgrades...",https://my.cytron.io/tutorial/raspberry-pi-3b-vs-3b,On,"Tutorial | Raspberry Pi 3B+ vs 3B: The Ultimate Upgrade Showdown! 🚀

Is it time to level up your Raspberry Pi game? 🤔 We're diving deep into the Raspberry Pi 3 Model B+ and comparing it head-to-head with the 3B! Discover all the upgrades, improvements, and performance boosts packed into the latest model. Get ready to unleash the full potential of your projects! 💻

🔗 Tutorial: https://my.cytron.io/tutorial/raspberry-pi-3b-vs-3b&tracking=content&utm_campaign=telegram-posts

#RaspberryPi #DIYElectronics #TechTutorial #RaspberryPi3BPlus #ElectronicsProjects
",Raspberry Pi Education Malaysia,Scheduled,07/11/2026,13,00,On,,2025-12-29 5:10:32,-,Raspberry Pi,,,
171,Clap to Turn On The Light!,"When I was young, I always have this kind of thought “Can I just switch off the light when I was about to sleep on the bed without going to the switch and turn it off?”. (I’m a bit scared when I....",https://my.cytron.io/tutorial/clap-turn-light,Off,,,,-,-,-,Off,,-,-,,,,
172,Remote Raspberry Pi Zero WH Using VNC Through OTG USB (Mac),Mac user and developing Raspberry Pi project? This is for you to get start...,https://my.cytron.io/tutorial/remote-raspberry-pi-zero-wh-using-vnc-otg-usb-mac,Off,,,,-,-,-,Off,,-,-,Raspberry Pi,,,
173,5 Easiest Ways to Control A DC Motor,"One of my friends was inspired by my previous article and decided to motorize his curtain blind. When I asked him how is he going to control the motor, he answered: Raspberry Pi.....",https://my.cytron.io/tutorial/5-easiest-ways-control-dc-motor,Off,,,,-,-,-,Off,,-,-,Raspberry Pi,,,
174,Robot Antenna,I have this paper robot and I want it to look fancy by adding an LED on his head. Hihi. So I decided to make this antenna and adding a sound to it using Raspberry Pi.....,https://my.cytron.io/tutorial/robot-antenna,Off,,,,-,-,-,Off,,-,-,Raspberry Pi,,,
175,Arduino User? You Should Try Raspberry Pi Too!,Do you remember how you program your Arduino board for the first time? Using Scratch? Then you can do the same with Raspberry Pi. Plus you don’t need a PC/laptop because Raspberry Pi itself is a....,https://my.cytron.io/tutorial/arduino-user-try-raspberry-pi,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
176,Piano with Maker UNO,"I have a nephew age 10 years old. I tried to make electronic looks easy and fun to him. Since he really like to play a music instrument, I made this small piano for him so that he can learn piano and ..",https://my.cytron.io/tutorial/piano-maker-uno,On,"Tutorial | Piano Maker UNO: Teach Your Child Electronics with Music! 🎹🎶

Want to make learning electronics fun for your kids?  I did! My 10-year-old nephew loves playing the piano, so I built him this mini electronic piano using a Maker UNO.  This project makes learning about circuits and coding engaging and enjoyable, perfect for sparking a passion for STEM!  See how I did it and build one for your little musician (or budding engineer!).  This project is surprisingly simple and rewarding! ✨

🔗 Tutorial: https://my.cytron.io/tutorial/piano-maker-uno&tracking=content&utm_campaign=telegram-posts

#arduino #makeruno #electronicsproject #kidscoding #stemtoys
",Arduino MY,Scheduled,05/12/2026,12,00,On,,2025-12-22 13:57:24,,Arduino,Relevant,,
177,Reading RFid Tag Using Mifare RC522 and Raspberry Pi,Plan to do Raspberry Pi project using RFid? You can get start here...,https://my.cytron.io/tutorial/reading-rfid-tag-using-mifare-rc522-raspberry-pi,On,"Tutorial | Reading RFID Tag Using Mifare RC522 and Raspberry Pi 🔑

Planning a Raspberry Pi project and need to unlock the power of RFID? 🤖 This tutorial is your perfect starting point! Learn how to read RFID tags using the Mifare RC522 module and your trusty Raspberry Pi. ⚡️ Get ready to explore the world of contactless identification!

🔗 Tutorial: https://my.cytron.io/tutorial/reading-rfid-tag-using-mifare-rc522-raspberry-pi&tracking=content&utm_campaign=telegram-posts

#RaspberryPi #RFID #RC522 #Electronics #DIYProject
",Raspberry Pi Education Malaysia,Scheduled,07/18/2026,13,00,On,,2025-12-29 5:11:55,-,Raspberry Pi,,,
178,Play Music On Raspberry Pi,"Have you ever thought to make an app that can play so many music notes? With Raspberry Pi now you can play any music notes for any music instrument using your keyboard! Yes, that’s true. This is one....",https://my.cytron.io/tutorial/play-music-raspberry-pi,Off,,,,-,-,-,Off,,-,-,Raspberry Pi,,,
179,Automatic Doorbell with PIR Motion Sensor,"Have you ever noticed that when you entered 7E there is a ding dong sound? Or when you enter a toilet, then suddenly the lamp turned on by itself? It’s actually using a Passive Infra-red (PIR) M....",https://my.cytron.io/tutorial/automatic-doorbell-pir-motion-sensor,Off,,,,-,-,-,Off,,-,-,,,,
180,Measuring Distance Using Ultrasonic Sensor,In this project I’m using an ultrasonic sensor that can precisely measure the distance to show how a beep sound come out when a car is reversed.  You will noticed that when the car is too n....,https://my.cytron.io/tutorial/measuring-distance-using-ultrasonic-sensor,Off,,,,-,-,-,Off,,-,-,,,,
181,Measuring Heart Rate Using Grove Sensor and Arduino,"For me (and for now), this is the easiest heart rate sensor for Arduino.....",https://my.cytron.io/tutorial/measuring-heart-rate-using-grove-sensor-arduino,On,"Tutorial | Measuring Heart Rate Using Grove Sensor and Arduino ❤️

Want to build your own heart rate monitor? 🫀 This tutorial shows you how to easily measure your pulse using a Grove sensor and Arduino! For me (and for now), this is the easiest heart rate sensor for Arduino... Give it a try! 🚀

🔗 Tutorial: https://my.cytron.io/tutorial/measuring-heart-rate-using-grove-sensor-arduino&tracking=content&utm_campaign=telegram-posts

#Arduino #HeartRateSensor #GroveSensor #DIYElectronics #ElectronicsProject
",Arduino MY,Scheduled,07/28/2026,12,00,On,,2025-12-22 15:09:31,-,Arduino,,,
182,Install LAMP Web Server on Raspberry Pi,Now is a time to setup your web server and database on Raspberry Pi...,https://my.cytron.io/tutorial/install-lamp-web-server-raspberry-pi,Off,,,,-,-,-,Off,,-,-,Raspberry Pi,,,
183,Configure MySQL Database and Manage Using Adminer on Raspberry Pi,"After install LAMP Web Server on Raspberry Pi, you can proceed to configure and manage the database...",https://my.cytron.io/tutorial/configure-mysql-database-manage-using-adminer-raspberry-pi,Off,,,,-,-,-,Off,,-,-,Raspberry Pi,,,
184,Flame Detector,Fire detector is using a flame sensor that can detect fire or other light source with wavelength of 760 nm ~ 1100 nm light. This is helpful if you want to make your own fire detector/alarm for your ow..,https://my.cytron.io/tutorial/flame-detector,Off,,,,-,-,-,Off,,-,-,,,,
185,How to Display on I2C LCD Using Raspberry Pi,"Besides I2C OLED, there have another alternative cheap display you can consider which is I2C LCD...",https://my.cytron.io/tutorial/display-i2c-lcd-using-raspberry-pi,Off,,,,-,-,-,Off,,-,-,,,,
186,Rain Detector,"Do you need a roof that suddenly open during rain? or do you need to detect rain fall and keep your cloth in? If it’s yes, then you should see how this rain sensor module works. The sensor plate....",https://my.cytron.io/tutorial/rain-detector,Off,,,,-,-,-,Off,,-,-,,,,
187,I2C Communication Between Raspberry Pi and Arduino,"Besides controlling I2C modules, like display and sensors, I2C communication also can be implemented between 2 controllers. For example between Raspberry Pi and Arduino...",https://my.cytron.io/tutorial/i2c_communication-raspberry-pi-arduino,On,"Tutorial | I2C Communication Between Raspberry Pi and Arduino 🚀

Ever wondered how to get your Raspberry Pi and Arduino talking to each other? 🗣️ Besides controlling cool I2C modules like displays and sensors, you can actually establish I2C communication directly between these two powerful controllers! 🤯 Unlock a world of possibilities and learn how to share data and coordinate tasks!

🔗 Tutorial: https://my.cytron.io/tutorial/i2c_communication-raspberry-pi-arduino&tracking=content&utm_campaign=telegram-posts

#RaspberryPi #Arduino #I2C #Communication #DIYElectronics
",Arduino MY,Scheduled,08/04/2026,12,00,On,,2025-12-22 15:12:04,-,Arduino,,,
188,Arduino Blynk Lesson 1: LED,"In this lesson, we will learn on how to control an LED using smartphone. This is a simple project designed specially for a beginner who are interested in get started with Internet of Things (IoT).&nbs..",https://my.cytron.io/tutorial/arduino-blynk-lesson-1-led,On,"Tutorial | Arduino Blynk Lesson 1: LED

💡 Ready to control the physical world with your smartphone? This beginner-friendly tutorial is your gateway to the Internet of Things! Learn how to control an LED using Blynk and your Arduino in this easy-to-follow Lesson 1. 📱✨ Perfect for anyone curious about IoT and wanting to build their first connected project.

🔗 Tutorial: https://my.cytron.io/tutorial/arduino-blynk-lesson-1-led&tracking=content&utm_campaign=telegram-posts

#Arduino #Blynk #IoT #LEDControl #DIYElectronics
",Arduino MY,Scheduled,08/18/2026,12,00,On,,2025-12-22 15:15:02,-,Arduino,,,
189,The 1st Raspberry Pi Approved Reseller Gathering,It brings many of us with the same mind together! Many discussions and follow up needed...,https://my.cytron.io/tutorial/1st-raspberry-pi-approved-reseller-gathering,Off,,,,-,-,-,Off,,-,-,,,,
190,DIY Radar Using Arduino and Processing,Let's build simple radar using Arduino (Maker UNO) and Processing software!..,https://my.cytron.io/tutorial/diy-radar-using-arduino-processing,On,"Tutorial | DIY Radar Using Arduino and Processing 📡

Ever wanted to see like a bat (but without the echolocation... maybe)? 🦇 Now you can! We're diving into the fascinating world of radar using the power of Arduino (Maker UNO!) and the visual magic of Processing. 💻 This project is perfect for beginners who want to understand how radar technology works in a simple and hands-on way. 

Let's build a simple radar system and visualize the world around us! 🎉

🔗 Tutorial: https://my.cytron.io/tutorial/diy-radar-using-arduino-processing&tracking=content&utm_campaign=telegram-posts

#Arduino #Processing #DIYElectronics #Radar #MakerUNO
",Arduino MY,Scheduled,08/11/2026,12,00,On,,2025-12-22 15:13:48,-,Arduino,,,
191,Arduino Blynk Lesson 2 : Notification,"In this lesson, we will learn on how to get a notification from arduino to the smartphone. This is a simple project designed specially for a beginner who are interested in get started with Internet of..",https://my.cytron.io/tutorial/arduino-blynk-lesson-2-notification,Off,,,,-,-,-,Off,,-,-,Arduino,,,
192,Raspberry Pi as Media Center - OSMC,A detailed tutorial showing the setup of OSMC with Raspberry Pi 3 Model B+..,https://my.cytron.io/tutorial/raspberry-pi-media-center-osmc,On,"Tutorial | Raspberry Pi as Media Center - OSMC

Ready to transform your Raspberry Pi into a powerful media center? 🎬🍿 This detailed tutorial walks you through setting up OSMC on your Raspberry Pi 3 Model B+ and turning it into the ultimate entertainment hub! Get ready for seamless streaming, easy navigation, and endless movie nights! 🤩

🔗 Tutorial: https://my.cytron.io/tutorial/raspberry-pi-media-center-osmc&tracking=content&utm_campaign=telegram-posts

#RaspberryPi #OSMC #MediaCenter #DIY #Tutorial
",Raspberry Pi Education Malaysia,Scheduled,07/25/2026,13,00,On,,2025-12-29 5:13:21,-,Raspberry Pi,,,
193,Raspberry Pi as RetroPie Station with NESpi Case,Setting up Raspberry Pi 3 Model B+ for RetroPie? Check this tutorial out...,https://my.cytron.io/tutorial/raspberry-pi-retropie-station-nespi-case,Off,,,,-,-,-,Off,,-,-,Raspberry Pi,Disabled,,
194,I2C Raspberry Pi Arduino - Reading Analog Signal,"With I2C communication, we can help Raspberry Pi reading analog signal...",https://my.cytron.io/tutorial/i2c-raspberry-pi-arduino-reading-analog-signal,On,"Tutorial | I2C Raspberry Pi Arduino - Reading Analog Signal 🎛️📡

Want to unlock the power of analog signals on your Raspberry Pi? 🤔 Learn how to effortlessly bridge the gap between your Raspberry Pi and Arduino using I2C communication! This tutorial will guide you through the process of reading analog signals, opening up a world of possibilities for your projects! 🤩 Build smart sensors, control analog devices, and more! 💡

🔗 Tutorial: https://my.cytron.io/tutorial/i2c-raspberry-pi-arduino-reading-analog-signal&tracking=content&utm_campaign=telegram-posts

#RaspberryPi #Arduino #I2C #AnalogSignal #DIYElectronics
",Raspberry Pi Education Malaysia,Scheduled,08/01/2026,13,00,On,,2025-12-29 5:14:06,-,Raspberry Pi,,,
195,Arduino Blynk Lesson 3 : Servo,"In this lesson, we will learn on how to control a servo using a smartphone. This is a simple project designed specially for a beginner who are interested in get started with Internet of Things (IoT).&..",https://my.cytron.io/tutorial/arduino-blynk-lesson-3-servo,Off,,,,-,-,-,Off,,-,-,,,,
196,I2C Raspberry Pi Arduino - Controlling Servo Motor,This tutorial will guide you how to control a servo motor through I2C communication between Raspberry Pi and Arduino...,https://my.cytron.io/tutorial/i2c-raspberry-pi-arduino-controlling-servo-motor,Off,,,,-,-,-,Off,,-,-,Arduino,,,
197,Arduino Blynk Lesson 4 : Timer,"In this lesson, we will learn on how to control an output using a timer set on the smartphone. This is a simple project designed specially for a beginner who are interested in get started with Interne..",https://my.cytron.io/tutorial/arduino-blynk-lesson-4-timer,Off,,,,-,-,-,Off,,-,-,,,,
198,Getting Started with Maker pHAT,This tutorial will focus on how to get started with Raspberry Pi and Maker pHAT...,https://my.cytron.io/tutorial/getting-started-maker-phat,On,"Tutorial | Getting Started with Maker pHAT 🚀

Ready to dive into the exciting world of Raspberry Pi and Maker pHAT? 🤔 This tutorial will guide you through the initial steps, making it easy to get your project up and running! Whether you're a beginner or looking to brush up on your skills, this is the perfect starting point. Let's get making! 👨‍💻👩‍💻

🔗 Tutorial: https://my.cytron.io/tutorial/getting-started-maker-phat&tracking=content&utm_campaign=telegram-posts

#RaspberryPi #MakerPHAT #Tutorial #Electronics #DIY
",Raspberry Pi Education Malaysia,Scheduled,08/08/2026,13,00,On,,2025-12-29 5:14:46,-,Raspberry Pi,,,
199,Arduino Learning Guide For Beginners,"The biggest problem I faced when I wanted to learn Arduino was there were too many documents, learning guides, tutorials flooding the internet and I had no idea which one to refer to.....",https://my.cytron.io/tutorial/arduino-learning-guide-beginners,Off,,,,-,-,-,Off,,-,-,Arduino,,,
200,MD10-POT: Controlling DC Motor without Writing Code,MD10-POT is a DC Motor Driver or DC Motor Controller that enables the user to control the DC motor direction and speed easily. The user can control the DC motor instantly after connecting the battery ..,https://my.cytron.io/tutorial/md10-pot-controlling-dc-motor-without-writing-code,Off,,,,-,-,-,Off,,-,-,Robotics,,,
201,What's New In Raspberry Pi NOOBS V2.9.0,Raspberry Pi have released a new version of NOOBS (2.9.0) on 11 Oct 2018. Let’s see the new updates they have made...,https://my.cytron.io/tutorial/whats-new-raspberry-pi-noobs-v2-9-0,Off,,,,-,-,-,Off,,-,-,Raspberry Pi,Disabled,,
202,Raspberry Pi with PIR Sensor,"In this lesson, we will learn on how to use a PIR sensor module with Raspberry Pi. It’s simple and easy project to detect a motion. ....",https://my.cytron.io/tutorial/raspberry-pi-pir-sensor,Off,,,,-,-,-,Off,,-,-,Raspberry Pi,,,
203,Selfie with Raspberry Pi,"In this lesson, we will learn on how to use a push button to take a selfie using a Pi Camera. It’s simple and easy project to do.  ....",https://my.cytron.io/tutorial/selfie-raspberry-pi,Off,,,,-,-,-,Off,,-,-,,,,
204,Reading Analog Signal Using MCP3008 On Raspberry Pi,This tutorial will show you on how to read analog signals using MCP3008 on Raspberry Pi...,https://my.cytron.io/tutorial/reading-analog-signal-using-mcp3008-raspberry-pi,Off,,,,-,-,-,Off,,-,-,Raspberry Pi,,,
205,Displaying on MAX7219 Dot Matrix Using Raspberry Pi,"If you want to have a bigger number or string display, you can consider to use MAX7219 Dot Matrix Display..",https://my.cytron.io/tutorial/displaying-max7219-dot-matrix-using-raspberry-pi,Off,,,,-,-,-,Off,,-,-,,,,
206,Displaying Telegram Message on Dot Matrix Using Raspberry Pi,In this video we will show you how to display Telegram message on dot matrix using Raspberry Pi...,https://my.cytron.io/tutorial/displaying-telegram-message-dot-matrix-using-raspberry-pi,Off,,,,-,-,-,Off,,-,-,Raspberry Pi,,,
207,Displaying on MAX7219 Dot Matrix Using Arduino,"This time, we will display on MAX7219 dot matrix using Maker UNO...",https://my.cytron.io/tutorial/displaying-max7219-dot-matrix-using-arduino,Off,,,,-,-,-,Off,,-,-,,,,
208,Displaying Text on Dot Matrix Using Arduino and Bluetooth,Upgrade you dot matrix display to be controlled using bluetooth from your phone!..,https://my.cytron.io/tutorial/displaying-text-dot-matrix-using-arduino-bluetooth,Off,,,,-,-,-,Off,,-,-,,,,
209,Controlling LED on Maker pHAT Using Raspberry Pi and Blynk,Always do Blynk with Arduino? How about Raspberry Pi?..,https://my.cytron.io/tutorial/controlling-led-maker-phat-using-raspberry-pi-blynk,Off,,,,-,-,-,Off,,-,-,Arduino,,,
210,Sending Blynk Notification Using Raspberry Pi and Maker pHAT,"Now, send Blynk notification using Raspberry Pi and Maker pHAT!..",https://my.cytron.io/tutorial/sending-blynk-notification-using-raspberry-pi-maker-phat,Off,,,,-,-,-,Off,,-,-,Raspberry Pi,,,
211,Displaying Sensor's Data on Blynk App Using Raspberry Pi,"Now, let's try displaying sensor's data on Blynk app..",https://my.cytron.io/tutorial/displaying-sensors-data-blynk-app-using-raspberry-pi,Off,,,,-,-,-,Off,,-,-,,,,
212,Displaying Text Message on Dot Matrix Using Blynk App and Raspberry Pi,"Besides Telegram, you can use Blynk to send your text and display on dot matrix!..",https://my.cytron.io/tutorial/displaying-text-message-dot-matrix-using-blynk-app-raspberry-pi,Off,,,,-,-,-,Off,,-,-,,,,
213,Obstacle Avoiding Robot,"Since we have successfully build Bluetooth Mobile Robot, let’s try to turn this robot to an “Obstacle Avoiding Robot” by adding an ultrasonic sensor to it. This robot will avoiding a....",https://my.cytron.io/tutorial/obstacle-avoiding-robot,Off,,,,-,-,-,Off,,-,-,Robotics,,,
214,Displaying Text Message on Dot Matrix Using Blynk and Arduino,Not familiar with Raspberry Pi? You can use Arduino to display text on dot matrix using Blynk app..,https://my.cytron.io/tutorial/displaying-text-message-dot-matrix-using-blynk-arduino,Off,,,,-,-,-,Off,,-,-,Arduino,,,
215,Displaying Telegram Message on Dot Matrix Using Arduino,"Just modify ESP8266 program from previous tutorial, now you can display Telegram message on dot matrix using Arduino...",https://my.cytron.io/tutorial/displaying-telegram-message-dot-matrix-using-arduino,On,"Tutorial | Displaying Telegram Message on Dot Matrix Using Arduino
Get ready to bring your Telegram messages to life! 🤩 Ever dreamt of seeing your latest chats scroll across a cool, retro dot matrix display? Now you can with Arduino and ESP8266! This super simple tutorial shows you how to modify our previous program to get your Telegram messages displayed in real-time. No more missing important alerts – just glance at your custom message board! ✨💡

🔗 Tutorial: https://my.cytron.io/tutorial/displaying-telegram-message-dot-matrix-using-arduino&tracking=content&utm_campaign=telegram-posts
#Arduino #ESP8266 #Telegram #DotMatrix #IoTProjects",ESP - Tips & Resources,,-,-,-,Off,,-,-,Arduino,,,
216,Controlling Electrical Appliances Through Telegram Message Using Raspberry Pi,"Normally we send SMS to control, how about Telegram message?..",https://my.cytron.io/tutorial/controlling-electrical-appliances-telegram-message-using-rapsberry-pi,Off,,,,-,-,-,Off,,-,-,,,,
217,Getting Started with Maker Drive and micro:bit,Want to drive motor using micro:bit? Try this...,https://my.cytron.io/tutorial/getting-started-maker-drive-microbit,On,"Tutorial | Getting Started with Maker Drive and micro:bit

Want to control a motor using the amazing power of a micro:bit?  This tutorial shows you exactly how!  Learn to build a simple motor-driven project with the Maker Drive and unleash your inner maker.  Get ready to build something awesome! 🚀🤖


🔗 Tutorial: https://my.cytron.io/tutorial/getting-started-maker-drive-microbit&tracking=content&utm_campaign=telegram-posts

#microbit #makerdrive #electronics #programming #STEM
",microbit MY,Scheduled,12/03/2025,12,00,Off,Sent,2025-01-08 12:37:11,2025-12-03 12:00:55,microbit,Relevant,,
218,Bluetooth Mobile Robot wih Maker Drive,"In this tutorial, I’ll share with you on how to build a mobile robot using a Maker Drive. Before this we’re using an L298N motor driver and now we’re going to change it to Maker Driv....",https://my.cytron.io/tutorial/bluetooth-mobile-robot-wih-maker-drive,Off,,,,-,-,-,Off,,-,-,Robotics,,,
219,Getting Started with Maker Drive and Raspberry Pi,"If you want to use Maker Drive with Raspberry Pi, read this!..",https://my.cytron.io/tutorial/getting-started-maker-drive-raspberry-pi,Off,,,,-,-,-,Off,,-,-,Raspberry Pi,,,
220,Raspberry Pi Mobile Robot with Maker Drive,"In this tutorial, I’ll share with you on how to build a mobile robot using a Maker Drive and Raspberry Pi. We will use Blynk app to control the robot.  Before we start, you may need to refe....",https://my.cytron.io/tutorial/raspberry-pi-mobile-robot-maker-drive,Off,,,,-,-,-,Off,,-,-,Raspberry Pi,,,
221,Controlling Stepper Motor Using Maker Drive and Raspberry Pi,"Besides controlling DC brush motor, we can use Maker Drive to control stepper!..",https://my.cytron.io/tutorial/controlling-stepper-motor-using-maker-drive-raspberry-pi,Off,,,,-,-,-,Off,,-,-,,,,
222,Home Notification using Telegram and Raspberry Pi,"In this tutorial, I’ll share with you on how to build a home notification using Telegram and Raspberry Pi. The notification will be sent to the telegram bot when a human or animal passes by. It&....",https://my.cytron.io/tutorial/home-notification-using-telegram-raspberry-pi,Off,,,,-,-,-,Off,,-,-,Raspberry Pi,,,
223,Getting Started With Favoriot IoT Platform Using Raspberry Pi,"If your project is required to using IoT platform, you can consider Favoriot!..",https://my.cytron.io/tutorial/getting-started-favoriot-iot-platform-using-raspberry-pi,Off,,,,-,-,-,Off,,-,-,,Disabled,,
224,Obstacles Avoiding Robot Using Arduino and Maker Drive,"In this tutorial, I’ll share with you on how to build an Obstacles Avoiding robot using a Maker Drive. Before this we’re using an L298N motor driver and now we’re going to change it ....",https://my.cytron.io/tutorial/obstacles-avoiding-robot-using-arduino-maker-drive,Off,,,,-,-,-,Off,,-,-,Robotics,,,
225,Data Logging Using Favoriot IoT Platform and ESP32,"Now, Favoriot IoT platform with Arduino ESP32 board!..",https://my.cytron.io/tutorial/data-logging-using-favoriot-iot-platform-esp32,Off,,,,-,-,-,Off,,-,-,Arduino,Disabled,,
226,How To Build A Mobile Robot (Part 1),"I came across many questions posted by beginners asking for assistance in selecting the right parts to build their first mobile robot.In this post, I am going to share the options we have in sel..",https://my.cytron.io/tutorial/build-mobile-robot-part-1,Off,,,,-,-,-,Off,,-,-,Robotics,,,
227,How To Build A Mobile Robot (Part 2),"As mentioned in Part 1, you shouldn’t have a problem completing your robot if you get a “ready-to-use” robot or the building kit because most of the time you will be provided with a ....",https://my.cytron.io/tutorial/build-mobile-robot-part-2,Off,,,,-,-,-,Off,,-,-,Robotics,,,
228,Line Following Robot Using Arduino and Maker Drive,"In this tutorial, I’ll share with you on how to build a Line Following robot using Arduino and Maker Drive. Before this we’re using an L298N motor driver and now we’re going to chang....",https://my.cytron.io/tutorial/line-following-robot-using-arduino-maker-drive,Off,,,,-,-,-,Off,,-,-,Arduino,,,
229,IMPROVING MINI FAN USING MAKER’S PRODUCT AND ARDUINO,Let's improve the existing product to be more creative?..,https://my.cytron.io/tutorial/improving-mini-fan-using-makers-product-and-arduino-2,Off,,,,-,-,-,Off,,-,-,,,,
230,How to Display on I2C OLED with Arduino,"In this tutorial, I’ll share with you on how to display on I2C OLED using Arduino. The video will cover on :....",https://my.cytron.io/tutorial/display-i2c-oled-arduino,Off,,,,-,-,-,Off,,-,-,Arduino,,,
231,Getting Started With MDD3A Motor Driver Using Arduino,"In this tutorial, I will slhow you how to get started with MDD3A motor driver...",https://my.cytron.io/tutorial/getting-started-mdd3a-motor-driver-using-arduino,Off,,,,-,-,-,Off,,-,-,Robotics,,,
232,Send and Receive SMS Using SIM7600 GSM Module and Arduino,"If your project involve GSM and Arduino, you can consider this tutorial...",https://my.cytron.io/tutorial/send-receive-sms-using-sim7600-gsm-module-arduino,Off,,,,-,-,-,Off,,-,-,Arduino,,,
233,Controlling SmartDrive40 Using 3.3V Microcontroller (Serial Simplified Mode),"If you would like to control Cytron smart motor driver using 3.3V microcontroller, you can try this tutorial...",https://my.cytron.io/tutorial/controlling-smartdrive40-using-3-3v-microcontroller,Off,,,,-,-,-,Off,,-,-,Robotics,,,
